,Site.ID,From (m),To (m),Depth,Material.simplified,Deposit.type,Deposit.type.conf,Mid_VI,EI_pred
124,I401A - P7,2.7,3,2.85,Fine,Glaciolacustrine,3,8,0.061621226
125,I401A - P7,3,6.1,4.55,Fine,Glaciolacustrine,3,45,0.111957778
126,I401A - P7,6.1,8.2,7.15,Fine,Glaciolacustrine,3,8,0.053269803
127,I401A - P7,8.2,10.7,9.45,Fine,Glaciolacustrine,3,45,0.095785367
128,KP7 - P1,0.2,1.5,0.85,Fine,Glaciolacustrine,3,0,0.056971626
129,KP7 - P1,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
130,KP7 - P1,3,4.3,3.65,Fine,Glaciolacustrine,3,45,0.115171925
131,KP7 - P2,0.3,1.5,0.9,Fine,Glaciolacustrine,2,45,0.306334286
132,KP7 - P2,2.3,3.1,2.7,Fine,Glaciolacustrine,2,0,0.14950302
133,KP7 - P3,0.3,3.7,2,Fine,Glaciolacustrine,3,8,0.063407124
134,KP7 - P3a,0.5,3.1,1.8,Fine,Glaciolacustrine,3,45,0.122027524
135,KP7 - P3a,3.1,6.1,4.6,Fine,Glaciolacustrine,3,45,0.111781499
136,PW10 - 12,0.2,1.2,0.7,Fine,Glaciolacustrine,2,45,0.307832394
137,PW10 - 12,1.2,1.8,1.5,Fine,Glaciolacustrine,2,45,0.301864352
138,PW10 - 12,3.1,5.6,4.35,Fine,Glaciolacustrine,2,45,0.281145811
139,PW10 - 12,4.6,6.1,5.35,Fine,Glaciolacustrine,2,0,0.137968122
140,PW10 - 14,1.5,3.1,2.3,Fine,Glaciolacustrine,3,45,0.12014123
141,PW10 - 14,0.6,1.5,1.05,Fine,Glaciolacustrine,3,45,0.124904067
142,PW10 - 16,0.3,1.8,1.05,Fine,Glaciolacustrine,3,45,0.124904067
143,PW10 - 18,6.4,8,7.2,Fine,Glaciolacustrine,2,0,0.130360495
144,PW10 - 18,3.7,6.4,5.05,Fine,Glaciolacustrine,2,45,0.276190549
145,PW10 - 21,0.2,6.1,3.15,Fine,Glaciolacustrine,3,45,0.116991521
146,PW10 - 22,1.2,4.6,2.9,Fine,Glaciolacustrine,3,45,0.117910502
147,PW10 - 22,4.6,6.1,5.35,Fine,Glaciolacustrine,3,45,0.109165879
148,PW10 - 28,3.1,6.1,4.6,Fine,Glaciolacustrine,3,45,0.111781499
149,PW10 - 28,1.8,3.1,2.45,Fine,Glaciolacustrine,3,8,0.062455867
150,PW10 - 28,0.2,1.8,1,Fine,Glaciolacustrine,3,45,0.125097861
151,PW10 - 30,3.1,4.6,3.85,Fine,Glaciolacustrine,3,0,0.051441863
152,PW10 - 30,0.2,3.1,1.65,Fine,Glaciolacustrine,3,45,0.122598295
153,PW10 - 8,1.4,1.5,1.45,Fine,Glaciolacustrine,3,45,0.123362845
154,PW10 - 8,1.5,3.1,2.3,Fine,Glaciolacustrine,3,0,0.054234328
155,PW10 - 8,3.1,5,4.05,Fine,Glaciolacustrine,3,45,0.113733764
156,PW10 - P4,1.5,3.1,2.3,Fine,Glaciolacustrine,3,45,0.12014123
157,PW10 - P4,9.1,10.1,9.6,Fine,Glaciolacustrine,3,45,0.095324331
158,PW10 - P4,7.6,9.1,8.35,Fine,Glaciolacustrine,3,0,0.044065502
159,PW11 - 10,1.5,2.7,2.1,Fine,Glaciolacustrine,2,45,0.297431412
160,PW11 - 10,0,1.5,0.75,Fine,Glaciolacustrine,2,45,0.307457488
161,PW11 - 16,0.2,1.8,1,Fine,Glaciolacustrine,3,45,0.125097861
162,PW11 - 16,3.8,4.6,4.2,Fine,Glaciolacustrine,3,8,0.058878782
163,PW11 - 16,4.6,8,6.3,Fine,Glaciolacustrine,3,45,0.105928829
164,PW11 - 16,8,8.5,8.25,Fine,Glaciolacustrine,3,45,0.099544669
165,PW11 - 17,0,1.5,0.75,Fine,Glaciolacustrine,3,8,0.066119007
166,PW11 - 17,3.1,6.1,4.6,Fine,Glaciolacustrine,3,45,0.111781499
167,PW11 - 17,1.5,3.1,2.3,Fine,Glaciolacustrine,3,0,0.054234328
168,PW11 - 18,0.2,1.5,0.85,Fine,Glaciolacustrine,3,45,0.125680767
169,PW11 - 18,1.5,6.1,3.8,Fine,Glaciolacustrine,3,8,0.05967952
170,PW11 - 22,1.5,4.6,3.05,Fine,Glaciolacustrine,3,8,0.061207726
171,PW11 - 22,0,1.5,0.75,Fine,Glaciolacustrine,3,8,0.066119007
172,PW11 - 22,4.6,6.1,5.35,Fine,Glaciolacustrine,3,45,0.109165879
173,PW11 - 6,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
174,PW11 - 6,0.1,1.5,0.8,Fine,Glaciolacustrine,3,45,0.125875578
175,PW11 - 6,3,7.6,5.3,Fine,Glaciolacustrine,3,8,0.05672706
176,PW11 - 8,1.5,6.1,3.8,Fine,Glaciolacustrine,3,45,0.114630797
177,PW11 - 8,0.1,1.5,0.8,Fine,Glaciolacustrine,3,45,0.125875578
178,PW11 - P2,3.7,10.1,6.9,Fine,Glaciolacustrine,3,0,0.046328606
179,PW11 - P2,0,3.7,1.85,Fine,Glaciolacustrine,3,0,0.05507067
180,PW12 - 12,8,10.3,9.15,Fine,Glaciolacustrine,3,45,0.096713321
181,PW12 - 12,1.5,8,4.75,Fine,Glaciolacustrine,3,45,0.111254096
182,PW12 - 12,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
183,PW12 - 19,8,10.3,9.15,Fine,Glaciolacustrine,3,45,0.096713321
184,PW12 - 19,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
185,PW12 - 19,6.1,8,7.05,Fine,Glaciolacustrine,3,45,0.103432405
186,PW12 - 19,3,6.1,4.55,Fine,Glaciolacustrine,3,8,0.058186192
187,PW12 - 19,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
188,PW12 - 25,0.1,1.1,0.6,Fine,Glaciolacustrine,3,45,0.126657374
189,PW12 - 25,1.1,2.5,1.8,Fine,Glaciolacustrine,3,45,0.122027524
190,PW12 - 25,8,10.2,9.1,Fine,Glaciolacustrine,3,45,0.096868745
191,PW12 - 25,2.5,8,5.25,Fine,Glaciolacustrine,3,45,0.109511547
192,PW12 - 31,3,4.6,3.8,Fine,Glaciolacustrine,3,8,0.05967952
193,PW12 - 31,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
194,PW12 - 31,4.6,10.3,7.45,Fine,Glaciolacustrine,3,0,0.045457885
195,PW12 - 31,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
196,PW12 - 32,7.6,10.1,8.85,Fine,Glaciolacustrine,3,0,0.043309035
197,PW12 - 32,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
198,PW12 - 32,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
199,PW12 - 32,3,7.6,5.3,Fine,Glaciolacustrine,3,8,0.05672706
200,PW12 - 34,0.2,0.9,0.55,Fine,Glaciolacustrine,3,87,0.244638679
201,PW12 - 34,0.9,7,3.95,Fine,Glaciolacustrine,3,45,0.114091852
202,PW12 - 43,0.1,1.1,0.6,Fine,Glaciolacustrine,3,8,0.06645141
203,PW12 - 43,5.6,7.2,6.4,Fine,Glaciolacustrine,3,45,0.105592978
204,PW12 - 43,1.1,5.6,3.35,Fine,Glaciolacustrine,3,0,0.052327911
205,PW12 - 48,5.6,7.2,6.4,Fine,Glaciolacustrine,3,45,0.105592978
206,PW12 - 48,0.1,1.1,0.6,Fine,Glaciolacustrine,3,45,0.126657374
207,PW12 - 48,2.6,4.1,3.35,Fine,Glaciolacustrine,3,8,0.060592215
208,PW12 - 48,4.1,5.6,4.85,Fine,Glaciolacustrine,3,45,0.110903686
209,PW12 - 48,1.1,2.6,1.85,Fine,Glaciolacustrine,3,45,0.121837769
210,PW12 - 55,3,6.1,4.55,Fine,Glaciolacustrine,3,45,0.111957778
211,PW12 - 55,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
212,PW12 - 55,1.5,3,2.25,Fine,Glaciolacustrine,3,0,0.054326677
213,PW12 - 56A,3,4.6,3.8,Fine,Glaciolacustrine,3,0,0.051529844
214,PW12 - 56A,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
215,PW12 - 56A,4.6,10.1,7.35,Fine,Glaciolacustrine,3,8,0.052907843
216,PW12 - 57,0,4.3,2.15,Fine,Glaciolacustrine,3,45,0.120704497
217,PW12 - 57,4.3,6.1,5.2,Fine,Glaciolacustrine,3,45,0.109684735
218,PW12 - 58,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
219,PW12 - 58,1.5,4.6,3.05,Fine,Glaciolacustrine,3,0,0.052866235
220,PW12 - 58,4.6,6.1,5.35,Fine,Glaciolacustrine,3,45,0.109165879
221,PW12 - 60,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
222,PW12 - 60,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
223,PW12 - 67,2.6,4,3.3,Fine,Glaciolacustrine,3,8,0.060694407
224,PW12 - 67,4,7.2,5.6,Fine,Glaciolacustrine,3,45,0.108305832
225,PW12 - 68,1.1,4.1,2.6,Fine,Glaciolacustrine,3,0,0.053683245
226,PW12 - 68,4.1,7.2,5.65,Fine,Glaciolacustrine,3,45,0.108134528
227,PW12 - 69,5.6,7.2,6.4,Fine,Glaciolacustrine,3,0,0.047133461
228,PW12 - 69,2.6,4.1,3.35,Fine,Glaciolacustrine,3,45,0.116260751
229,PW12 - 69,2,2.6,2.3,Fine,Glaciolacustrine,3,45,0.12014123
230,PW12 - 69,4.1,5.6,4.85,Fine,Glaciolacustrine,3,8,0.057598473
231,PW12 - 70,3.5,4.1,3.8,Fine,Glaciolacustrine,3,8,0.05967952
232,PW12 - 70,5.6,7.2,6.4,Fine,Glaciolacustrine,3,45,0.105592978
233,PW12 - 70,4.1,5.6,4.85,Fine,Glaciolacustrine,3,45,0.110903686
234,PW12 - 70,2.6,3.5,3.05,Fine,Glaciolacustrine,3,0,0.052866235
235,PW12 - 71,0.1,0.9,0.5,Fine,Glaciolacustrine,3,45,0.127049806
236,PW12 - 71,1.5,4,2.75,Fine,Glaciolacustrine,3,45,0.118464845
237,PW12 - 71,0.9,1.5,1.2,Fine,Glaciolacustrine,3,45,0.12432421
238,PW12 - 71,5.5,7,6.25,Fine,Glaciolacustrine,3,45,0.106097102
239,PW12 - 71,4,5.5,4.75,Fine,Glaciolacustrine,3,8,0.057793774
240,PW12 - 72,1.1,2.6,1.85,Fine,Glaciolacustrine,3,45,0.121837769
241,PW12 - 72,4.1,7.2,5.65,Fine,Glaciolacustrine,3,45,0.108134528
242,PW12 - 72,2.6,4.1,3.35,Fine,Glaciolacustrine,3,8,0.060592215
243,PW12 - P1,1.5,3.1,2.3,Fine,Glaciolacustrine,3,45,0.12014123
244,PW12 - P1,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
245,PW12 - P1,3.1,6.1,4.6,Fine,Glaciolacustrine,3,8,0.05808786
246,PW12 - P2,1.5,6.1,3.8,Fine,Glaciolacustrine,3,8,0.05967952
247,PW12 - P2,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
248,PW12 - P3,1.5,4.6,3.05,Fine,Glaciolacustrine,3,8,0.061207726
249,PW12 - P3,4.6,10.1,7.35,Fine,Glaciolacustrine,3,45,0.102448261
250,PW12 - P4,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
251,PW12 - P4,3,8,5.5,Fine,Glaciolacustrine,3,45,0.108649145
252,PW12 - P4,8,9.1,8.55,Fine,Glaciolacustrine,3,45,0.098592923
253,PW12 - P4,9.1,10.1,9.6,Fine,Glaciolacustrine,3,8,0.048988372
254,PW12 - P4,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
255,PW12 - P5,6,10.3,8.15,Fine,Glaciolacustrine,3,0,0.044371482
256,PW12 - P5,4.6,6,5.3,Fine,Glaciolacustrine,3,8,0.05672706
257,PW12 - P5,3,4.6,3.8,Fine,Glaciolacustrine,3,0,0.051529844
258,PW12 - P5,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
