Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
I401A - 43,3,4.6,3.8,1.6,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 43,4.6,6.1,5.35,1.5,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 52,4.1,5.6,4.85,1.5,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 52,2.6,3.4,3,0.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 52,1.1,2.3,1.7,1.2,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 52,2.3,2.6,2.45,0.3,Clay,Fine,CL-ML,No,Yes,Low,8,Vx,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 52,3.4,4.1,3.75,0.7,Clay,Fine,CL-ML,No,Yes,Low,8,Vx,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 57,0,3.8,1.9,3.8,Clay,Fine,CL,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 57,7.6,9.1,8.35,1.5,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 59,5.8,9.1,7.45,3.3,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 60,1.8,3,2.4,1.2,Clay,Fine,CL,No,Yes,Medium to high,45,,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 60,0,1.8,0.9,1.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 61,6.1,7,6.55,0.9,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 64,2.3,6.1,4.2,3.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 64,0,1.5,0.75,1.5,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 64,1.5,2.3,1.9,0.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vs,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 68,1.8,6.1,3.95,4.3,Clay,Fine,CL-ML,No,Yes,Low,8,Nbe,Rugged,Undulating,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,
I401A - P6,0,1.2,0.6,1.2,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vs,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,3,
I401A - P6,1.5,9.1,5.3,7.6,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,3,
I401A - P6,1.2,1.5,1.35,0.3,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,3,
I401A - P7,2.7,3,2.85,0.3,Clay,Fine,CL,No,Yes,Low,8,Vr,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,
I401A - P7,3,6.1,4.55,3.1,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Vr,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,
I401A - P7,6.1,8.2,7.15,2.1,Clay,Fine,CL,No,Yes,Low,8,Vx,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,
I401A - P7,8.2,10.7,9.45,2.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vs/Vr,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,
