Site ID,SampleID,From (m),To (m),Depth,Log depth,Material,Material.simplified,Material code,Organics code,VI num 1,VI num 2,Visible ice 1,Visible ice 2,Lower_VI,Upper_VI,Mid_VI,Excess ice (%),EI,Presence,EITrans,Holocene deposit,Holocene conf,Deposit.type,Deposit.type.conf
HUS_Slump (NTGS 17),NTGS17-BH17-04-A,3.5,4,3.75,0.574031268,Clay,Fine,1,0,5,90,Low,High,1,15,8,17.9,0.179,1,0.17990678,Organics,3,Moraine,2
HUS_Slump (NTGS 17),NTGS17-BH17-01-C,2.1,2.4,2.25,0.352182518,Clay,Fine,1,0,90,12,High,Low,75,99,87,97.7,0.977,1,0.975652542,Organics,3,Moraine,2
I401A_Pit (NTGS 15),NTGS17-BH15-03-A,1,1.5,1.25,0.096910013,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-04-A,1.5,2,1.75,0.243038049,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-05-A,2,2.5,2.25,0.352182518,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-06-A,2.5,3,2.75,0.439332694,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-07-A,3,3.5,3.25,0.511883361,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-08-A,3.5,4,3.75,0.574031268,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-09-A,4,4.5,4.25,0.62838893,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-10-A,4.5,5,4.75,0.67669361,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-11-A,5,5.5,5.25,0.720159303,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Pit (NTGS 15),NTGS17-BH15-12-A,5.5,6,5.75,0.759667845,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Glaciolacustrine,2
I401A_Upper (NTGS 16),NTGS17-BH16-08-A,5,5.5,5.25,0.720159303,Clay,Fine,1,0,3,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-09-A,5.5,6,5.75,0.759667845,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-17-A,6,6.5,6.25,0.795880017,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-10-A,6.5,7,6.75,0.829303773,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-11-A,7,7.5,7.25,0.860338007,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-12-A,7.5,8,7.75,0.889301703,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-13-A,8,8.5,8.25,0.916453949,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-18-A,8.5,9,8.75,0.942008053,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-19-A,9,9.5,9.25,0.966141733,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-20-A,9.5,10,9.75,0.989004616,Clay,Fine,1,0,5,NA,Low,NA,1,15,8,0,0,0,0.001412429,Colluvial,2,Moraine,3
I401A_Upper (NTGS 16),NTGS17-BH16-06-A,4,4.5,4.25,0.62838893,Clay,Fine,1,0,3,NA,Low,NA,1,15,8,37.72,0.3772,1,0.377546893,Colluvial,2,Moraine,3
TUK_H (NTGS 10),NTGS17-BH10-06-C,6.5,7,6.75,0.829303773,Clay,Fine,1,0,1,85,Low,High,1,15,8,75.36,0.7536,1,0.752883616,Organics,3,Moraine,2
TUK_H (NTGS 10),NTGS17-BH10-07-C,7,7.5,7.25,0.860338007,Clay,Fine,1,0,80,85,High,High,75,99,87,79.39,0.7939,1,0.793069774,Organics,3,Moraine,2
TUK_H (NTGS 10),NTGS17-BH10-05-C,6,6.5,6.25,0.795880017,Clay,Fine,1,0,60,80,Medium to high,High,16,74,45,80.76,0.8076,1,0.806731073,Organics,3,Moraine,2
TUK_H (NTGS 10),NTGS17-BH10-03-C,4,4.5,4.25,0.62838893,Clay,Fine,1,0,40,40,Medium to high,Medium to high,16,74,45,85.48,0.8548,1,0.85379774,Organics,3,Moraine,2
TUK_H (NTGS 10),NTGS17-BH10-09-C,5.5,6,5.75,0.759667845,Clay,Fine,1,0,60,80,Medium to high,High,16,74,45,93.85,0.9385,1,0.937261299,Organics,3,Moraine,2
TVC_H (NTGS 5),NTGS17-BH05-15-A,2.5,3,2.75,0.439332694,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-16-A,3,3.5,3.25,0.511883361,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-17-A,3.5,4,3.75,0.574031268,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-18-A,4,4.5,4.25,0.62838893,Clay,Fine,1,0,10,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-19-A,4.5,5,4.75,0.67669361,Clay,Fine,1,0,10,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-20-A,5,5.5,5.25,0.720159303,Clay,Fine,1,0,10,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-21-A,5.5,6,5.75,0.759667845,Clay,Fine,1,0,10,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-22-A,6,6.5,6.25,0.795880017,Clay,Fine,1,0,10,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-01-A,6.5,7,6.75,0.829303773,Clay,Fine,1,0,10,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-23-A,7,7.5,7.25,0.860338007,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-02-A,7.5,8,7.75,0.889301703,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-03-A,8,8.5,8.25,0.916453949,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-05-A,9,9.5,9.25,0.966141733,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-08-A,10.5,11,10.75,1.031408464,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-09-A,11,11.5,11.25,1.051152522,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-04-A,8.5,9,8.75,0.942008053,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,16.02,0.1602,1,0.161159887,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-07-A,10,10.5,10.25,1.010723865,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,21.41,0.2141,1,0.214907627,Organics,3,Glaciolacustrine,3
TVC_H (NTGS 5),NTGS17-BH05-06-A,9.5,10,9.75,0.989004616,Clay,Fine,1,0,7,0,Low,No visible ice,1,15,8,22.52,0.2252,1,0.225976271,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-03-A,6.5,7,6.75,0.829303773,Clay,Fine,1,0,20,85,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-04-A,7,7.5,7.25,0.860338007,Clay,Fine,1,0,20,12,Medium to high,Low,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-05-A,7.5,8,7.75,0.889301703,Clay,Fine,1,0,20,12,Medium to high,Low,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-14-C,7.5,8,7.75,0.889301703,Clay,Fine,1,0,20,12,Medium to high,Low,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-06-A,8,8.5,8.25,0.916453949,Clay,Fine,1,0,20,12,Medium to high,Low,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-07-A,8.5,9,8.75,0.942008053,Clay,Fine,1,0,20,12,Medium to high,Low,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-08-A,9,9.5,9.25,0.966141733,Clay,Fine,1,0,3,12,Low,Low,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-09-A,9.5,10,9.75,0.989004616,Clay,Fine,1,0,3,12,Low,Low,1,15,8,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-13-C,7,7.5,7.25,0.860338007,Clay,Fine,1,0,20,12,Medium to high,Low,16,74,45,31.84,0.3184,1,0.318912994,Organics,3,Glaciolacustrine,3
TVC_P (NTGS 4),NTGS17-BH04-12-C,6.5,7,6.75,0.829303773,Clay,Fine,1,0,20,85,Medium to high,High,16,74,45,43.78,0.4378,1,0.437975706,Organics,3,Glaciolacustrine,3
TVC_R (NTGS 6),NTGS17-BH06-06-A,4,4.5,4.25,0.62838893,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-07-A,4.5,5,4.75,0.67669361,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-08-A,5,5.5,5.25,0.720159303,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-09-A,6,6.5,6.25,0.795880017,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-10-A,6.5,7,6.75,0.829303773,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-11-A,7,7.5,7.25,0.860338007,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-12-A,7.5,8,7.75,0.889301703,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-13-A,8,8.5,8.25,0.916453949,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-14-A,8.5,9,8.75,0.942008053,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-15-A,9,9.5,9.25,0.966141733,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
TVC_R (NTGS 6),NTGS17-BH06-16-A,9.5,10,9.75,0.989004616,Clay,Fine,1,0,5,0,Low,No visible ice,1,15,8,0,0,0,0.001412429,Organics,3,Moraine,3
312_Pit (NTGS 13),NTGS17-BH13-02-A,0.5,1,0.75,-0.124938737,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-03-A,1,1.5,1.25,0.096910013,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-04-A,1.5,2,1.75,0.243038049,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-05-A,2,2.5,2.25,0.352182518,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-09-A,4,4.5,4.25,0.62838893,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-10-A,4.5,5,4.75,0.67669361,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-11-A,5,5.5,5.25,0.720159303,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-12-A,5.5,6,5.75,0.759667845,Coarse till,Coarse,5,0,0,NA,No visible ice,NA,0,0,0,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
