Borehole ID,VRM,Slope,Organic cover (m),Mineral soil (logs; first 3 m),Surficial materials (Rampton 1987 map),Holocene deposits,Holocene conf,Deposit.type,Deposit.type.conf,Notes
19A-07,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
19A-08,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
19A-09,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
19A-10,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
19A-11,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
19A-12,Smooth,Undulating,0.2,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons
2.45-1-1,Rugged,Undulating,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
2.45-1-10,Moderately rugged,Undulating,2.7,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
2.45-1-11,Rugged,Flat,0.2,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
2.45-1-12,Moderately rugged,Undulating,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
2.45-1-13,Smooth,Undulating,0.15,Till/clay,Hummocky,Organics,3,Moraine,2,Near a river and thermokarst lakes
2.45-1-15,Smooth,Flat,1.6,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
2.45-1-16,Moderately rugged,Undulating,0.15,Till/silt,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
2.45-1-19,Smooth,Flat,0.15,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
2.45-1-2,Moderately rugged,Undulating,0.9,Silt/till,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
2.45-1-20,Smooth,Flat,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
2.45-1-21,Smooth,Flat,0.05,Sand/silt,Hummocky,Organics,3,Glaciofluvial,2,Near a river and thermokarst lakes
2.45-1-22,Smooth,Flat,0.05,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
2.45-1-24,Moderately rugged,Undulating,0.15,Sand/silt,Hummocky,Organics,3,Glaciofluvial,2,Near a river and thermokarst lakes
2.45-1-3,Moderately rugged,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
2.45-1-4,Smooth,Rolling,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
2.45-1-5,Smooth,Undulating,0,Silt/till,Hummocky,Colluvial,1,Glaciolacustrine,3,Near a river and thermokarst lakes
2.45-1-6,Smooth,Undulating,0.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
2.45-1-7,Smooth,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
2.45-1-8,Moderately rugged,Undulating,0.1,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
2.45-1-9,Rugged,Undulating,0.05,Sand/silt,Hummocky,Organics,3,Glaciofluvial,2,Near a river and thermokarst lakes
