,X,Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes,fittedvalues_beta,fittedvalues_beta_lwrCI_reg,fittedvalues_beta_uprCI_reg,fittedvalues_beta_lwrCI_siteid,fittedvalues_beta_uprCI_siteid
1138,107,174-09,3.7,7.3,5.5,3.6,Gravel,Coarse,GP-GM,No,Yes,No visible ice,0,Nf,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.3041655,0.065467379,0.714464937,1.70E-05,0.999706863
1139,111,174-09,7.3,7.6,7.45,0.3,Gravel,Coarse,GP-GM,No,Yes,Low,8,Vx/Vc,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.322056177,0.064339606,0.749170922,1.53E-05,0.999776856
1258,109,174-09,0.1,0.6,0.35,0.6,Silt,Fine,ML,No,Yes,Low,8,Vx,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.29825883,0.053094626,0.747874622,1.20E-05,0.999743304
1,133,174-18,1.5,2.4,1.95,0.9,Clay,Fine,CL,No,Yes,Medium to high,45,Nbn,Smooth,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.299139336,0.052905441,0.745138348,3.33E-05,0.999624199
414,134,174-18,2.4,3,2.7,0.6,Coarse till,Coarse,SP,No,Yes,Medium to high,45,Nbn/Nf,Smooth,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.373437034,0.091509027,0.754916388,7.16E-05,0.999650117
1064,137,174-20,0.1,1.5,0.8,1.5,Coarse till,Coarse,SP,No,Yes,Low,8,Vx/Vc,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.1641193,0.02470332,0.591209054,2.21E-06,0.999887592
1140,136,174-20,8,10.1,9.05,2.1,Gravel,Coarse,GW,No,Yes,Low,8,Vx/Vc,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.128180521,0.015117796,0.576921359,1.12E-06,0.999897179
1141,138,174-20,4.6,6.1,5.35,1.5,Gravel,Coarse,GW,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.125759069,0.017093313,0.536335357,1.44E-06,0.999862344
1142,139,174-20,3,4.6,3.8,1.6,Gravel,Coarse,GW,No,Yes,Medium to high,45,Vx/Vc,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.26268411,0.032409439,0.773927572,2.20E-06,0.999966042
1143,140,174-20,6.1,7.6,6.85,1.5,Gravel,Coarse,GW,No,Yes,Low,8,Vx/Vc,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.137050189,0.017240712,0.580745056,1.34E-06,0.999894706
1144,141,174-20,7.6,8,7.8,0.4,Gravel,Coarse,GW,No,Yes,Low,8,,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.133158389,0.016290256,0.579095076,1.24E-06,0.999895781
2,143,174-22,1.5,2.4,1.95,0.9,Clay,Fine,CL,No,Yes,Medium to high,45,Nbn,Smooth,Undulating,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.122592367,0.013555277,0.574493519,2.79E-06,0.999823803
761,144,174-22,0.1,0.5,0.3,0.4,Silt,Fine,ML,No,Yes,Medium to high,45,Nbn,Smooth,Undulating,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.128952002,0.014962063,0.577366583,3.20E-06,0.999820634
1065,156,174-28,3,4.9,3.95,1.9,Coarse till,Coarse,SP,No,Yes,Low,8,Nbe,Moderately rugged,Rolling,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.34941171,0.078377607,0.753830731,2.03E-05,0.999768257
1066,158,174-28,0.1,1.5,0.8,1.4,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,Nf,Moderately rugged,Rolling,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.340121067,0.085242065,0.721251402,2.50E-05,0.999691594
1145,157,174-28,1.5,3,2.25,1.5,Gravel,Coarse,GW-GM,No,Yes,No visible ice,0,Nbn/Nf,Moderately rugged,Rolling,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.328805467,0.078623956,0.719168286,2.22E-05,0.999696388
975,178,174-34,0.8,2,1.4,1.2,Clay,Fine,CL,No,Yes,Medium to high,45,Vx,Smooth,Flat,0.1,Till/clay,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.452293915,0.077037445,0.876843037,1.40E-05,0.999920795
