,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
1408,GSC1A - P1,0,1.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1412,GSC1A - P2,3.7,4.9,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0,Till/sand,Hummocky,None,2,Moraine,2,
1414,GSC1A - P2,4.9,5.2,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0,Till/sand,Hummocky,None,2,Moraine,2,
1417,GSC1A - P3,0.9,2.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Till/clay,Hummocky,None,2,Moraine,2,
1419,GSC1A - P4,1.5,6,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1421,GSC1A - P4,0,1.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1422,GSC1A - P5,1.5,8,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1423,GSC1A - P5,0,1.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1425,GSC1A - P5,8,9,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1427,GSC1A - P6,0,1.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1433,GSC3 - 14,0.6,2,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1434,GSC3 - 14,0.2,0.6,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1438,GSC3 - 16,2.1,4.6,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
