,Borehole.ID,Top.depth,Bottom.depth,Thickness,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
339,307-14-1a,0,0.8,0.8,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
341,307-14-2,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
344,307-14-3,0,0.6,0.6,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.6,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
346,307-14-4,0,1.1,1.1,Coarse till,SW-SM,No,No,NA,,0,0,0,Smooth,Flat,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
348,307-14-5,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
355,307-7-10,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
359,307-7-11,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.2,None,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,1,Near ice wedge polygons and thermokarst lakes
361,307-7-3,0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
362,307-7-3,0.2,0.8,0.6,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
369,307-7-5,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.1,Till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
370,307-7-5,0.1,1.1,1,Coarse till,SP,Yes,No,NA,,0,0,0,Smooth,Flat,0.1,Till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
374,307-7-6,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Flat,0.2,Silt/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
378,307-7-9,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
382,307-8-1,0,0.3,0.3,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
388,307-8-6,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
391,307-8-7,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
398,307-8-9,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Till/silt,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
403,309-03,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
413,309-11,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Moderately steep,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
419,309-18,0,5.5,5.5,Fine till,GM,No,No,NA,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near thermokarst lakes
420,309-18,5.5,12.2,6.7,Gravel,GP,No,No,NA,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near thermokarst lakes
421,309-22,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
427,309-25,0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
436,309-29,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
442,309-38,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
447,309-40,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes
450,309-41,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Moderately rugged,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes
456,309-49,0,10.1,10.1,Coarse till,SP,No,No,NA,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,2,Near thermokarst lakes
457,309-49,10.1,12.2,2.1,Coarse till,SW,No,No,NA,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,2,Near thermokarst lakes
458,309-51,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
464,312-01,0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
470,312-04,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
477,312-07a,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Till,Alluvial,Organics,3,Moraine,2,
491,312-15,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,
498,312-16,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
508,312-18,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,
515,312-20,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Flat,0.2,Till,Alluvial,Organics,3,Moraine,3,Near braided river system
520,312-22,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system
525,312-23,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system
531,312-27,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system
539,325-1-11,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
543,325-1-13,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
547,325-1-14,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
551,325-1-15,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.15,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
555,325-1-16,0,0.3,0.3,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.3,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
559,325-1-17,0,0.3,0.3,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.3,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
562,325-1-2,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
565,325-1-21,0,0.3,0.3,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.3,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
568,325-1-23,0,0.25,0.25,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.25,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
592,325-1-3,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.1,Silt,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,3,
593,325-1-3,0.1,0.5,0.4,Silt,ML,Yes,No,NA,,0,0,0,Smooth,Flat,0.1,Silt,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,3,
600,325-1-35,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.15,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
609,325-1-4,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
615,325-1-5,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.2,Silt,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,3,
616,325-1-5,0.2,0.5,0.3,Silt,ML,Yes,No,NA,,0,0,0,Smooth,Flat,0.2,Silt,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,3,
633,AH109.6C,0,0.3,0.3,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,5,None,Glaciolacustrine,None,2,Glaciolacustrine,3,Within ice wedge polygons
644,AH109.6N,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,3,None,Glaciolacustrine,None,2,Glaciolacustrine,3,Within ice wedge polygons
650,AH109.6S,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,4.6,None,Glaciolacustrine,None,2,Glaciolacustrine,3,Within ice wedge polygons
663,AH112.2N,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Flat,0.1,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
749,ENG.YARC03097-01//INU_H (NTGS 2),0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Rugged,Flat,1.5,Till,Hummocky,Organics,3,Moraine,3,Reworked rolling hills
764,ENG.YARC03097-01//INU_P (NTGS 1),0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Flat,2,Till,Hummocky,Organics,3,Moraine,3,Within ice wedge polygons
845,ENG.YARC03097-01//TVC_H (NTGS 5),0,0.6,0.6,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,2,Clay/till,Hummocky,Organics,3,Glaciolacustrine,3,
862,ENG.YARC03097-01//TVC_R (NTGS 6),0.9,1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Flat,1.5,Till/clay,Hummocky,Organics,3,Moraine,3,Within ice wedge polygons
889,GSC3 - 14,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
906,GSC3 - 24,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
912,GSC3 - 25,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Moderately rugged,Rolling,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
